,_id,Thành phố,Diện tích,Đường trước nhà,Mặt tiền,Số tầng,Số toilet,Số phòng ngủ,Loại,Hướng,Mức giá
0,67483abea2187cd9d8089599,hà nội,48.0,3.0,5.0,4.0,3.0,3.0,N,,5.7
1,67483abea2187cd9d808959a,hà nội,55.0,3.0,5.0,4.0,3.0,3.0,N,,6.6
2,67483abea2187cd9d808959b,hà nội,44.0,3.0,4.0,4.0,3.0,3.0,N,,5.7
3,67483abea2187cd9d808959c,hà nội,55.0,,,,,,N,,6.2
4,67483abea2187cd9d808959d,hà nội,56.0,3.0,4.0,4.0,3.0,3.0,N,,6.2
5,67483abea2187cd9d808959e,hà nội,54.0,3.0,4.0,3.0,2.0,3.0,N,,6.3
6,67483abea2187cd9d808959f,hà nội,51.0,3.0,5.0,4.0,3.0,3.0,N,,6.1
7,67483abea2187cd9d80895a0,long an,32.0,,5.0,1.0,2.0,2.0,N,,21.92
8,67483abea2187cd9d80895a1,lâm đồng,299.0,3.0,5.0,1.0,2.0,2.0,N,Đ,2.0
9,67483abea2187cd9d80895a2,lâm đồng,99.0,4.0,6.0,1.0,2.0,2.0,N,B,1.6
10,67483abea2187cd9d80895a3,hồ chí minh,37.0,,,,,,N,,3.19
11,67483abea2187cd9d80895a4,hồ chí minh,60.0,4.0,,1.0,1.0,1.0,N,,6.5
12,67483abea2187cd9d80895a5,hà nội,151.0,,,,,,N,,30.2
13,67483abea2187cd9d80895a6,hà nội,64.0,,,,,,N,,3.5
14,67483abea2187cd9d80895a7,long an,683.0,,27.0,,2.0,3.0,N,,7.0
15,67483abea2187cd9d80895a8,hồ chí minh,39.0,,3.0,,1.0,2.0,N,,2.9
16,67483abea2187cd9d80895a9,long an,4180.0,,,,2.0,4.0,N,,8.0
17,67483abea2187cd9d80895aa,hà nội,36.0,5.0,5.0,5.0,4.0,3.0,N,,6.75
18,67483abea2187cd9d80895ab,hồ chí minh,84.0,,,,,,N,,27.8
19,67483abea2187cd9d80895ac,hồ chí minh,79.0,,,,,,N,,12.6
20,67483abea2187cd9d80895ad,hồ chí minh,151.0,12.0,7.0,8.0,,,N,,36.0
21,67483abea2187cd9d80895ae,hồ chí minh,186.0,10.0,9.0,8.0,1.0,1.0,N,,28.0
22,67483abea2187cd9d80895af,hồ chí minh,184.0,,7.0,,,,N,,15.5
23,67483abea2187cd9d80895b0,hồ chí minh,80.0,,4.0,5.0,,10.0,N,,21.0
24,67483abea2187cd9d80895b1,hồ chí minh,90.0,,8.0,3.0,5.0,3.0,N,,12.5
25,67483abea2187cd9d80895b2,hà nội,32.0,6.0,4.0,4.0,3.0,3.0,N,,7.3
26,67483abea2187cd9d80895b3,hà nội,143.0,5.0,12.0,4.0,,4.0,N,,30.0
27,67483abea2187cd9d80895b4,hà nội,60.0,,,3.0,,3.0,N,,3.5
28,67483abea2187cd9d80895b5,hồ chí minh,37.0,10.0,4.0,2.0,2.0,2.0,N,B,4.5
29,67483abea2187cd9d80895b6,hồ chí minh,53.0,5.0,3.0,2.0,2.0,2.0,N,ĐB,4.2
30,67483abea2187cd9d80895b7,hồ chí minh,56.0,8.0,4.0,2.0,2.0,3.0,N,ĐB,4.5
31,67483abea2187cd9d80895b8,hồ chí minh,38.0,10.0,4.0,2.0,2.0,2.0,N,B,4.38
32,67483abea2187cd9d80895b9,hà nội,75.0,,9.0,,,,N,,22.0
33,67483abea2187cd9d80895ba,hà nội,50.0,,7.0,5.0,,,N,,19.0
34,67483abea2187cd9d80895bb,hà nội,39.0,,,,,,N,,13.3
